ID_Equipo;Equipo;ID_Locacion
1;Aldosivi;10
2;Argentinos;4
3;Arsenal;21
4;Atl Rafaela;15
5;Atl Tucuman;23
6;Banfield;3
7;Barracas Central;4
8;Belgrano;5
9;Boca Juniors;4
10;Central Cba (SdE);20
11;Chacarita;4
12;Colon;19
13;Crucero (M);12
14;Def y Justicia;6
15;Estudiantes (LP);8
16;Gimnasia (LP);8
17;Godoy Cruz;11
18;Huracan;4
19;Independiente;1
20;Lanus;9
21;Newells;16
22;Nueva Chicago;4
23;Olimpo;2
24;Patronato;13
25;Platense;17
26;Quilmes;14
27;Racing Club;1
28;River Plate;4
29;Rosario Central;16
30;San Lorenzo;4
31;San Martin (SJ);18
32;San Martin (T);23
33;Sarmiento (J);7
34;Talleres (C);5
35;Temperley;22
36;Tigre;24
37;Union;19
38;Velez;4
