ID_Encuentro (PK);ID_Campeonato (FK);Fecha_Torneo;Partido;ID_EquipoLocal (FK);ID_EquipoVisitante (FK);ID_Locacion (FK);GolesLocal;GolesVisita;Valor Mercado Local;Altura Media Local;Edad Media Local;Valor Mercado Visita;Altura Media Visita;Edad Media Visita;ID_Resultado (FK);Fecha;NombreDia;Apuesta Local;Apuesta Visita;Apuesta Empate
1;1;1;1;38;1;4;2;0; 28.50;1.78;22.70; 8.73;1.79;28.10;1;2015-02-13;viernes;1.75;5.01;3.37
2;1;1;2;27;29;1;0;1; 29.08;1.78;26.14; 18.35;1.79;25.61;2;2015-02-13;viernes;1.80;4.82;3.23
3;1;1;3;30;12;4;2;0; 39.73;1.78;26.63; 12.13;1.80;24.95;1;2015-02-14;sábado;1.70;5.55;3.34
4;1;1;4;16;14;8;0;1; 14.30;1.78;24.11; 12.05;1.78;25.46;2;2015-02-14;sábado;2.06;3.82;3.09
5;1;1;5;17;31;11;1;1; 21.20;1.79;23.75; 11.25;1.78;26.15;3;2015-02-14;sábado;2.03;3.82;3.15
6;1;1;6;21;19;16;2;3; 32.67;1.78;24.27; 33.53;1.78;25.60;2;2015-02-14;sábado;1.97;4.07;3.16
7;1;1;7;6;35;3;0;1; 22.93;1.79;24.42; 5.30;1.80;26.35;2;2015-02-14;sábado;1.64;5.61;3.51
8;1;1;8;13;36;12;0;0; 4.40;1.79;25.70; 18.50;1.81;26.07;3;2015-02-14;sábado;2.42;3.10;3.00
9;1;1;9;26;20;14;0;1; 16.98;1.79;25.24; 30.62;1.82;25.12;2;2015-02-15;domingo;3.10;2.44;2.95
10;1;1;10;37;18;19;1;0; 7.95;1.79;23.81; 13.78;1.78;27.63;1;2015-02-15;domingo;2.20;3.58;2.97
11;1;1;11;9;23;4;3;1; 80.93;1.80;24.92; 12.97;1.79;25.02;1;2015-02-15;domingo;1.46;7.59;3.93
12;1;1;12;2;4;4;2;0; 12.05;1.78;24.71; 17.08;1.81;24.71;1;2015-02-15;domingo;2.60;2.79;3.05
13;1;1;13;33;28;7;1;4; 8.98;1.80;26.39; 56.25;1.77;24.21;2;2015-02-15;domingo;5.43;1.69;3.39
14;1;1;14;3;15;21;0;1; 27.25;1.80;24.86; 37.65;1.80;24.90;2;2015-02-16;lunes;3.22;2.39;2.92
15;1;1;15;8;22;5;3;1; 13.98;1.82;26.42; 8.15;1.80;26.14;1;2015-02-16;lunes;1.66;5.54;3.50
16;1;2;1;4;6;15;1;4; 17.08;1.81;24.71; 22.93;1.79;24.42;2;2015-02-20;viernes;2.42;3.05;3.05
17;1;2;2;18;3;4;1;0; 13.78;1.78;27.63; 27.25;1.80;24.86;1;2015-02-21;sábado;2.06;3.84;3.04
18;1;2;3;15;17;8;2;1; 37.65;1.80;24.90; 21.20;1.79;23.75;1;2015-02-21;sábado;1.62;6.11;3.48
19;1;2;4;29;36;16;2;1; 18.35;1.79;25.61; 18.50;1.81;26.07;1;2015-02-21;sábado;1.92;4.47;3.07
20;1;2;5;23;27;2;0;0; 12.97;1.79;25.02; 29.08;1.78;26.14;3;2015-02-21;sábado;2.56;2.95;2.93
21;1;2;6;38;13;4;2;1; 28.50;1.78;22.70; 4.40;1.79;25.70;1;2015-02-21;sábado;1.58;6.37;3.59
22;1;2;7;31;16;18;1;1; 11.25;1.78;26.15; 14.30;1.78;24.11;3;2015-02-21;sábado;2.70;2.79;2.92
23;1;2;8;1;21;10;0;1; 8.73;1.79;28.10; 32.67;1.78;24.27;2;2015-02-22;domingo;2.91;2.51;3.04
24;1;2;9;22;37;4;2;2; 8.15;1.80;26.14; 7.95;1.79;23.81;3;2015-02-22;domingo;2.52;3.01;2.92
25;1;2;10;19;33;1;1;1; 33.53;1.78;25.60; 8.98;1.80;26.39;3;2015-02-22;domingo;1.60;5.89;3.62
26;1;2;11;28;26;4;2;2; 56.25;1.77;24.21; 16.98;1.79;25.24;3;2015-02-22;domingo;1.39;8.47;4.30
27;1;2;12;12;2;19;1;1; 12.13;1.80;24.95; 12.05;1.78;24.71;3;2015-02-22;domingo;2.15;3.76;2.95
28;1;2;13;35;9;22;0;2; 5.30;1.80;26.35; 80.93;1.80;24.92;2;2015-02-22;domingo;5.43;1.66;3.54
29;1;2;14;20;8;9;0;0; 30.62;1.82;25.12; 13.98;1.82;26.42;3;2015-02-23;lunes;1.96;4.10;3.17
30;1;2;15;14;30;6;1;2; 12.05;1.78;25.46; 39.73;1.78;26.63;2;2015-02-23;lunes;2.56;2.95;2.93
31;1;3;1;3;22;21;1;1; 27.25;1.80;24.86; 8.15;1.80;26.14;3;2015-02-27;viernes;1.95;4.24;3.10
32;1;3;2;17;18;11;2;1; 21.20;1.79;23.75; 13.78;1.78;27.63;1;2015-02-27;viernes;1.79;4.84;3.27
33;1;3;3;36;23;24;1;0; 18.50;1.81;26.07; 12.97;1.79;25.02;1;2015-02-28;sábado;2.03;3.99;3.06
